Category,Question,When to Use
Gap/Concern Probe,"I noticed a gap between [Company A] and [Company B]. Can you walk me through what you were doing during that time?",When resume shows employment gaps
Gap/Concern Probe,"Your time at [Company] was relatively short. What prompted that transition?",When tenure at a role was less than 1 year
Gap/Concern Probe,"I don't see experience with [specific requirement]. How would you approach getting up to speed in that area?",When a key qualification is missing
Strength Validation,"You mentioned [specific accomplishment]. Can you tell me more about your specific role and what you personally contributed?",When validating a strong achievement claim
Strength Validation,"What was the most challenging aspect of [project/role] and how did you handle it?",When exploring depth of experience
Behavioral,"Tell me about a time when you had to manage competing priorities with tight deadlines. What was your approach?",General — works for most roles
Behavioral,"Describe a situation where you had to work with a difficult colleague or client. How did you handle it?",Roles requiring collaboration or client-facing work
Behavioral,"Give me an example of a time you identified a problem before anyone else did. What did you do?",Roles requiring initiative and problem-solving
Situational,"If you started this role and discovered the existing processes were inefficient, how would you approach improving them?",Operations and management roles
Situational,"How would you handle a situation where your manager disagreed with your recommended approach?",Any role — tests communication and adaptability
Career Goals,"Where do you see yourself in 2-3 years and how does this role fit into that vision?",Always — assesses long-term fit
Career Goals,"What attracted you to this role specifically?",Always — assesses genuine interest and alignment
